Sim Time (s),Speed (km/h),Acceleration (m/s²),Distance (m),Lap,Mode,Power (W),Energy Used (Wh),Drag (N),Rolling Resistance (N)
929.00,35.20,-0.26,8797.45,3,performance,0.00,126.05,10.31,33.35
930.00,34.28,-0.26,8807.10,3,performance,0.00,126.05,9.77,33.35
931.00,33.36,-0.25,8816.49,3,performance,0.00,126.05,9.26,33.35
932.00,36.70,0.93,8826.22,3,performance,2038.66,126.57,11.20,33.35
933.00,35.75,-0.26,8836.28,3,performance,0.00,126.57,10.63,33.35
934.00,34.82,-0.26,8846.08,3,performance,0.00,126.57,10.09,33.35
935.00,33.90,-0.26,8855.63,3,performance,0.00,126.57,9.56,33.35
936.00,37.23,0.92,8865.51,3,performance,2068.20,127.09,11.53,33.35
937.00,36.28,-0.26,8875.72,3,performance,0.00,127.09,10.95,33.35
938.00,35.34,-0.26,8885.66,3,performance,0.00,127.09,10.39,33.35
939.00,34.41,-0.26,8895.35,3,performance,0.00,127.09,9.85,33.35
940.00,33.50,-0.25,8904.78,3,performance,0.00,127.09,9.33,33.35
941.00,36.83,0.93,8914.55,3,performance,2046.06,127.61,11.28,33.35
942.00,35.88,-0.26,8924.65,3,performance,0.00,127.61,10.71,33.35
943.00,34.95,-0.26,8934.49,3,performance,0.00,127.61,10.16,33.35
944.00,34.03,-0.26,8944.07,3,performance,0.00,127.61,9.63,33.35
945.00,37.35,0.92,8953.98,3,performance,2075.24,128.13,11.61,33.35
946.00,36.40,-0.26,8964.23,3,performance,0.00,128.13,11.02,33.35
947.00,35.46,-0.26,8974.21,3,performance,0.00,128.13,10.46,33.35
948.00,34.53,-0.26,8983.93,3,performance,0.00,128.13,9.92,33.35
949.00,33.62,-0.25,8993.40,3,performance,0.00,128.13,9.40,33.35
950.00,36.95,0.92,9003.20,3,performance,2052.67,128.65,11.36,33.35
951.00,36.00,-0.26,9013.33,3,performance,0.00,128.65,10.78,33.35
952.00,35.07,-0.26,9023.20,3,performance,0.00,128.65,10.23,33.35
953.00,34.14,-0.26,9032.81,3,performance,0.00,128.65,9.70,33.35
954.00,37.47,0.92,9042.76,3,performance,2081.52,129.18,11.68,33.35
955.00,36.51,-0.26,9053.03,3,performance,0.00,129.18,11.09,33.35
956.00,35.57,-0.26,9063.04,3,performance,0.00,129.18,10.53,33.35
957.00,34.64,-0.26,9072.80,3,performance,0.00,129.18,9.98,33.35
958.00,33.73,-0.25,9082.29,3,performance,0.00,129.18,9.46,33.35
959.00,37.05,0.92,9092.12,3,performance,2058.57,129.70,11.42,33.35
960.00,36.11,-0.26,9102.28,3,performance,0.00,129.70,10.84,33.35
961.00,35.17,-0.26,9112.18,3,performance,0.00,129.70,10.29,33.35
962.00,34.25,-0.26,9121.83,3,performance,0.00,129.70,9.76,33.35
963.00,33.33,-0.25,9131.21,3,performance,0.00,129.70,9.24,33.35
964.00,36.67,0.93,9140.93,3,performance,2037.02,130.21,11.18,33.35
965.00,35.72,-0.26,9150.99,3,performance,0.00,130.21,10.61,33.35
966.00,34.79,-0.26,9160.78,3,performance,0.00,130.21,10.07,33.35
967.00,33.87,-0.26,9170.32,3,performance,0.00,130.21,9.54,33.35
968.00,37.20,0.92,9180.19,3,performance,2066.64,130.74,11.51,33.35
969.00,36.25,-0.26,9190.39,3,performance,0.00,130.74,10.93,33.35
970.00,35.31,-0.26,9200.33,3,performance,0.00,130.74,10.37,33.35
971.00,34.39,-0.26,9210.01,3,performance,0.00,130.74,9.83,33.35
972.00,33.47,-0.25,9219.43,3,performance,0.00,130.74,9.32,33.35
973.00,36.80,0.93,9229.19,3,performance,2044.60,131.25,11.27,33.35
974.00,35.86,-0.26,9239.29,3,performance,0.00,131.25,10.70,33.35
975.00,34.93,-0.26,9249.12,3,performance,0.00,131.25,10.15,33.35
976.00,34.00,-0.26,9258.69,3,performance,0.00,131.25,9.62,33.35
977.00,37.33,0.92,9268.60,3,performance,2073.84,131.78,11.59,33.35
978.00,36.38,-0.26,9278.83,3,performance,0.00,131.78,11.01,33.35
979.00,35.44,-0.26,9288.81,3,performance,0.00,131.78,10.45,33.35
980.00,34.51,-0.26,9298.52,3,performance,0.00,131.78,9.91,33.35
981.00,33.59,-0.25,9307.98,3,performance,0.00,131.78,9.39,33.35
982.00,36.92,0.93,9317.78,3,performance,2051.36,132.30,11.34,33.35
983.00,35.98,-0.26,9327.90,3,performance,0.00,132.30,10.77,33.35
984.00,35.04,-0.26,9337.77,3,performance,0.00,132.30,10.21,33.35
985.00,34.12,-0.26,9347.37,3,performance,0.00,132.30,9.68,33.35
986.00,37.44,0.92,9357.31,3,performance,2080.28,132.82,11.66,33.35
987.00,36.49,-0.26,9367.58,3,performance,0.00,132.82,11.08,33.35
988.00,35.55,-0.26,9377.59,3,performance,0.00,132.82,10.51,33.35
989.00,34.62,-0.26,9387.33,3,performance,0.00,132.82,9.97,33.35
990.00,33.70,-0.25,9396.82,3,performance,0.00,132.82,9.45,33.35
991.00,37.03,0.92,9406.65,3,performance,2057.41,133.34,11.41,33.35
992.00,36.09,-0.26,9416.80,3,performance,0.00,133.34,10.83,33.35
993.00,35.15,-0.26,9426.70,3,performance,0.00,133.34,10.28,33.35
994.00,34.23,-0.26,9436.33,3,performance,0.00,133.34,9.74,33.35
995.00,33.31,-0.25,9445.71,3,performance,0.00,133.34,9.23,33.35
996.00,36.65,0.93,9455.43,3,performance,2035.92,133.86,11.17,33.35
997.00,35.70,-0.26,9465.48,3,performance,0.00,133.86,10.60,33.35
998.00,34.77,-0.26,9475.27,3,performance,0.00,133.86,10.06,33.35
999.00,33.85,-0.26,9484.80,3,performance,0.00,133.86,9.53,33.35
1000.00,37.18,0.92,9494.66,3,performance,2065.59,134.38,11.50,33.35
1001.00,36.23,-0.26,9504.86,3,performance,0.00,134.38,10.92,33.35
1002.00,35.29,-0.26,9514.79,3,performance,0.00,134.38,10.36,33.35
1003.00,34.37,-0.26,9524.47,3,performance,0.00,134.38,9.82,33.35
1004.00,33.45,-0.25,9533.89,3,performance,0.00,134.38,9.31,33.35
1005.00,36.79,0.93,9543.64,3,performance,2043.61,134.89,11.26,33.35
1006.00,35.84,-0.26,9553.73,3,performance,0.00,134.89,10.68,33.35
1007.00,34.91,-0.26,9563.56,3,performance,0.00,134.89,10.14,33.35
1008.00,33.99,-0.26,9573.13,3,performance,0.00,134.89,9.61,33.35
1009.00,37.31,0.92,9583.03,3,performance,2072.91,135.42,11.58,33.35
1010.00,36.36,-0.26,9593.26,3,performance,0.00,135.42,11.00,33.35
1011.00,35.42,-0.26,9603.23,3,performance,0.00,135.42,10.44,33.35
1012.00,34.49,-0.26,9612.94,3,performance,0.00,135.42,9.90,33.35
1013.00,33.58,-0.25,9622.40,3,performance,0.00,135.42,9.38,33.35
1014.00,36.91,0.93,9632.19,3,performance,2050.49,135.94,11.33,33.35
1015.00,35.96,-0.26,9642.31,3,performance,0.00,135.94,10.76,33.35
1016.00,35.03,-0.26,9652.17,3,performance,0.00,135.94,10.21,33.35
1017.00,34.11,-0.26,9661.77,3,performance,0.00,135.94,9.68,33.35
1018.00,37.43,0.92,9671.70,3,performance,2079.44,136.46,11.65,33.35
1019.00,36.48,-0.26,9681.97,3,performance,0.00,136.46,11.07,33.35
1020.00,35.54,-0.26,9691.97,3,performance,0.00,136.46,10.50,33.35
1021.00,34.61,-0.26,9701.71,3,performance,0.00,136.46,9.96,33.35
1022.00,33.69,-0.25,9711.20,3,performance,0.00,136.46,9.44,33.35
1023.00,37.02,0.92,9721.02,3,performance,2056.62,136.98,11.40,33.35
1024.00,36.07,-0.26,9731.17,3,performance,0.00,136.98,10.82,33.35
1025.00,35.14,-0.26,9741.06,3,performance,0.00,136.98,10.27,33.35
1026.00,34.21,-0.26,9750.69,3,performance,0.00,136.98,9.74,33.35
1027.00,33.30,-0.25,9760.07,3,performance,0.00,136.98,9.22,33.35
1028.00,36.63,0.93,9769.78,3,performance,2035.19,137.50,11.16,33.35
1029.00,35.69,-0.26,9779.83,3,performance,0.00,137.50,10.60,33.35
1030.00,34.76,-0.26,9789.61,3,performance,0.00,137.50,10.05,33.35
1031.00,33.84,-0.26,9799.14,3,performance,0.00,137.50,9.53,33.35
1032.00,37.17,0.92,9809.00,3,performance,2064.89,138.02,11.49,33.35
1033.00,36.22,-0.26,9819.20,3,performance,0.00,138.02,10.91,33.35
1034.00,35.28,-0.26,9829.13,3,performance,0.00,138.02,10.35,33.35
1035.00,34.36,-0.26,9838.80,3,performance,0.00,138.02,9.82,33.35
1036.00,33.44,-0.25,9848.21,3,performance,0.00,138.02,9.30,33.35
1037.00,36.77,0.93,9857.97,3,performance,2042.96,138.54,11.25,33.35
1038.00,35.83,-0.26,9868.05,3,performance,0.00,138.54,10.68,33.35
1039.00,34.90,-0.26,9877.87,3,performance,0.00,138.54,10.13,33.35
1040.00,33.98,-0.26,9887.44,3,performance,0.00,138.54,9.60,33.35
1041.00,37.30,0.92,9897.34,3,performance,2072.28,139.06,11.57,33.35
1042.00,36.35,-0.26,9907.57,3,performance,0.00,139.06,10.99,33.35
1043.00,35.41,-0.26,9917.53,3,performance,0.00,139.06,10.43,33.35
1044.00,34.48,-0.26,9927.24,3,performance,0.00,139.06,9.89,33.35
1045.00,33.57,-0.25,9936.69,3,performance,0.00,139.06,9.37,33.35
1046.00,36.90,0.93,9946.48,3,performance,2049.90,139.58,11.32,33.35
1047.00,35.95,-0.26,9956.60,3,performance,0.00,139.58,10.75,33.35
1048.00,35.02,-0.26,9966.45,3,performance,0.00,139.58,10.20,33.35
1049.00,34.10,-0.26,9976.05,3,performance,0.00,139.58,9.67,33.35
1050.00,37.42,0.92,9985.99,3,performance,2078.89,140.10,11.65,33.35
1051.00,36.47,-0.26,9996.25,3,performance,0.00,140.10,11.06,33.35
1052.00,35.53,-0.26,10006.25,3,performance,0.00,140.10,10.50,33.35
1053.00,34.60,-0.26,10015.99,3,performance,0.00,140.10,9.96,33.35
1054.00,33.68,-0.25,10025.47,3,performance,0.00,140.10,9.44,33.35
1055.00,37.01,0.92,10035.29,3,performance,2056.10,140.62,11.39,33.35
1056.00,36.06,-0.26,10045.44,3,performance,0.00,140.62,10.82,33.35
1057.00,35.13,-0.26,10055.32,3,performance,0.00,140.62,10.26,33.35
1058.00,34.20,-0.26,10064.95,3,performance,0.00,140.62,9.73,33.35
1059.00,33.29,-0.25,10074.33,3,performance,0.00,140.62,9.22,33.35
1060.00,36.62,0.93,10084.04,3,performance,2034.69,141.14,11.16,33.35
1061.00,35.68,-0.26,10094.08,3,performance,0.00,141.14,10.59,33.35
1062.00,34.75,-0.26,10103.86,3,performance,0.00,141.14,10.05,33.35
1063.00,33.83,-0.26,10113.39,3,performance,0.00,141.14,9.52,33.35
1064.00,37.16,0.92,10123.25,3,performance,2064.42,141.66,11.49,33.35
1065.00,36.21,-0.26,10133.44,3,performance,0.00,141.66,10.91,33.35
1066.00,35.27,-0.26,10143.37,3,performance,0.00,141.66,10.35,33.35
1067.00,34.35,-0.26,10153.04,3,performance,0.00,141.66,9.81,33.35
1068.00,33.43,-0.25,10162.45,3,performance,0.00,141.66,9.30,33.35
1069.00,36.77,0.93,10172.20,3,performance,2042.52,142.18,11.24,33.35
1070.00,35.82,-0.26,10182.28,3,performance,0.00,142.18,10.67,33.35
1071.00,34.89,-0.26,10192.10,3,performance,0.00,142.18,10.12,33.35
1072.00,33.97,-0.26,10201.67,3,performance,0.00,142.18,9.60,33.35
1073.00,37.29,0.92,10211.56,3,performance,2071.86,142.70,11.57,33.35
1074.00,36.34,-0.26,10221.79,3,performance,0.00,142.70,10.99,33.35
1075.00,35.40,-0.26,10231.75,3,performance,0.00,142.70,10.43,33.35
1076.00,34.48,-0.26,10241.46,3,performance,0.00,142.70,9.89,33.35
1077.00,33.56,-0.25,10250.91,3,performance,0.00,142.70,9.37,33.35
1078.00,36.89,0.93,10260.69,3,performance,2049.51,143.22,11.32,33.35
1079.00,35.79,-0.30,10270.79,3,performance,0.00,143.22,10.66,33.35
1080.00,34.70,-0.30,10280.58,3,performance,0.00,143.22,10.01,33.35
1081.00,33.60,-0.30,10290.07,3,performance,0.00,143.22,9.39,33.35
1082.00,36.74,0.87,10299.83,3,performance,2040.89,143.74,11.23,33.35
1083.00,35.33,-0.39,10309.84,3,performance,0.00,143.74,10.38,33.35
1084.00,33.92,-0.39,10319.46,3,performance,0.00,143.74,9.57,33.35
1085.00,36.75,0.79,10329.27,3,performance,2041.44,144.26,11.23,33.35
1086.00,34.94,-0.50,10339.23,3,performance,0.00,144.26,10.15,33.35
1087.00,33.13,-0.50,10348.68,3,performance,0.00,144.26,9.13,33.35
1088.00,35.55,0.67,10358.22,3,performance,1975.13,144.77,10.51,33.35
1089.00,33.20,-0.65,10367.77,3,performance,0.00,144.77,9.17,33.35
1090.00,35.09,0.52,10377.26,3,performance,1949.26,145.28,10.24,33.35
1091.00,32.05,-0.84,10386.58,3,performance,0.00,145.28,8.54,33.35
1092.00,33.28,0.34,10395.65,3,performance,1848.68,145.78,9.21,33.35
1093.00,34.49,0.34,10405.07,3,performance,1916.25,146.29,9.90,33.35
1094.00,31.46,-0.84,10414.23,3,performance,0.00,146.29,8.23,33.35
1095.00,32.70,0.34,10423.14,3,performance,1816.45,146.78,8.89,33.35
1096.00,0.00,0.34,10432.91,3,performance,0.00,147.28,0.00,33.35
1097.00,3.53,0.98,10433.40,3,performance,196.05,147.28,0.10,33.35
1098.00,7.06,0.98,10434.87,3,performance,391.99,147.34,0.41,33.35
1099.00,10.58,0.98,10437.32,3,performance,587.55,147.45,0.93,33.35
1100.00,14.09,0.97,10440.74,3,performance,782.51,147.61,1.65,33.35
1101.00,17.58,0.97,10445.14,3,performance,976.63,147.83,2.57,33.35
1102.00,21.05,0.97,10450.51,3,performance,1169.66,148.10,3.69,33.35
1103.00,24.50,0.96,10456.83,3,performance,1361.37,148.42,4.99,33.35
1104.00,27.93,0.95,10464.12,3,performance,1551.55,148.80,6.49,33.35
1105.00,31.32,0.94,10472.35,3,performance,1739.97,149.23,8.16,33.35
1106.00,34.68,0.93,10481.51,3,performance,1926.43,149.71,10.00,33.35
1107.00,33.76,-0.26,10491.02,3,performance,0.00,149.71,9.48,33.35
1108.00,37.09,0.92,10500.86,3,performance,2060.32,150.24,11.44,33.35
1109.00,36.14,-0.26,10511.03,3,performance,0.00,150.24,10.86,33.35
1110.00,35.20,-0.26,10520.93,3,performance,0.00,150.24,10.31,33.35
1111.00,34.28,-0.26,10530.58,3,performance,0.00,150.24,9.77,33.35
1112.00,33.36,-0.25,10539.98,3,performance,0.00,150.24,9.26,33.35
1113.00,36.70,0.93,10549.71,3,performance,2038.66,150.75,11.20,33.35
1114.00,35.75,-0.26,10559.77,3,performance,0.00,150.75,10.63,33.35
1115.00,34.82,-0.26,10569.57,3,performance,0.00,150.75,10.09,33.35
1116.00,33.90,-0.26,10579.12,3,performance,0.00,150.75,9.56,33.35
1117.00,37.23,0.92,10589.00,3,performance,2068.20,151.27,11.53,33.35
1118.00,36.28,-0.26,10599.20,3,performance,0.00,151.27,10.95,33.35
1119.00,35.34,-0.26,10609.15,3,performance,0.00,151.27,10.39,33.35
1120.00,34.41,-0.26,10618.84,3,performance,0.00,151.27,9.85,33.35
1121.00,33.50,-0.25,10628.27,3,performance,0.00,151.27,9.33,33.35
1122.00,36.83,0.93,10638.04,3,performance,2046.06,151.79,11.28,33.35
1123.00,35.88,-0.26,10648.14,3,performance,0.00,151.79,10.71,33.35
1124.00,34.95,-0.26,10657.98,3,performance,0.00,151.79,10.16,33.35
1125.00,34.03,-0.26,10667.56,3,performance,0.00,151.79,9.63,33.35
1126.00,37.35,0.92,10677.47,3,performance,2075.24,152.32,11.61,33.35
1127.00,36.40,-0.26,10687.72,3,performance,0.00,152.32,11.02,33.35
1128.00,35.46,-0.26,10697.70,3,performance,0.00,152.32,10.46,33.35
1129.00,34.53,-0.26,10707.42,3,performance,0.00,152.32,9.92,33.35
1130.00,33.62,-0.25,10716.88,3,performance,0.00,152.32,9.40,33.35
1131.00,36.95,0.92,10726.68,3,performance,2052.67,152.83,11.36,33.35
1132.00,36.00,-0.26,10736.82,3,performance,0.00,152.83,10.78,33.35
1133.00,35.07,-0.26,10746.69,3,performance,0.00,152.83,10.23,33.35
1134.00,34.14,-0.26,10756.30,3,performance,0.00,152.83,9.70,33.35
1135.00,37.47,0.92,10766.25,3,performance,2081.52,153.36,11.68,33.35
1136.00,36.51,-0.26,10776.52,3,performance,0.00,153.36,11.09,33.35
1137.00,35.57,-0.26,10786.53,3,performance,0.00,153.36,10.53,33.35
1138.00,34.64,-0.26,10796.29,3,performance,0.00,153.36,9.98,33.35
1139.00,33.73,-0.25,10805.78,3,performance,0.00,153.36,9.46,33.35
1140.00,37.05,0.92,10815.61,3,performance,2058.57,153.88,11.42,33.35
1141.00,36.11,-0.26,10825.77,3,performance,0.00,153.88,10.84,33.35
1142.00,35.17,-0.26,10835.67,3,performance,0.00,153.88,10.29,33.35
1143.00,34.25,-0.26,10845.31,3,performance,0.00,153.88,9.76,33.35
1144.00,33.33,-0.25,10854.70,3,performance,0.00,153.88,9.24,33.35
1145.00,36.67,0.93,10864.42,3,performance,2037.02,154.40,11.18,33.35
1146.00,35.72,-0.26,10874.48,3,performance,0.00,154.40,10.61,33.35
1147.00,34.79,-0.26,10884.27,3,performance,0.00,154.40,10.07,33.35
1148.00,33.87,-0.26,10893.81,3,performance,0.00,154.40,9.54,33.35
1149.00,37.20,0.92,10903.68,3,performance,2066.64,154.92,11.51,33.35
1150.00,36.25,-0.26,10913.88,3,performance,0.00,154.92,10.93,33.35
1151.00,35.31,-0.26,10923.82,3,performance,0.00,154.92,10.37,33.35
1152.00,34.39,-0.26,10933.50,3,performance,0.00,154.92,9.83,33.35
1153.00,33.47,-0.25,10942.92,3,performance,0.00,154.92,9.32,33.35
1154.00,36.80,0.93,10952.68,3,performance,2044.60,155.44,11.27,33.35
1155.00,35.86,-0.26,10962.77,3,performance,0.00,155.44,10.70,33.35
1156.00,34.93,-0.26,10972.61,3,performance,0.00,155.44,10.15,33.35
1157.00,34.00,-0.26,10982.18,3,performance,0.00,155.44,9.62,33.35
1158.00,37.33,0.92,10992.09,3,performance,2073.84,155.96,11.59,33.35
1159.00,36.38,-0.26,11002.32,3,performance,0.00,155.96,11.01,33.35
1160.00,35.44,-0.26,11012.30,3,performance,0.00,155.96,10.45,33.35
1161.00,34.51,-0.26,11022.01,3,performance,0.00,155.96,9.91,33.35
1162.00,33.59,-0.25,11031.47,3,performance,0.00,155.96,9.39,33.35
1163.00,36.92,0.93,11041.27,4,performance,2051.36,156.48,11.34,33.35
1164.00,33.86,-0.85,11051.10,4,performance,0.00,156.48,9.54,33.35
1165.00,37.19,0.92,11060.96,4,performance,2065.97,157.00,11.50,33.35
1166.00,36.24,-0.26,11071.16,4,performance,0.00,157.00,10.92,33.35
1167.00,35.30,-0.26,11081.10,4,performance,0.00,157.00,10.36,33.35
1168.00,34.37,-0.26,11090.78,4,performance,0.00,157.00,9.83,33.35
1169.00,33.46,-0.25,11100.20,4,performance,0.00,157.00,9.31,33.35
1170.00,36.79,0.93,11109.95,4,performance,2043.97,157.52,11.26,33.35
1171.00,35.85,-0.26,11120.04,4,performance,0.00,157.52,10.69,33.35
1172.00,34.91,-0.26,11129.87,4,performance,0.00,157.52,10.14,33.35
1173.00,33.99,-0.26,11139.44,4,performance,0.00,157.52,9.61,33.35
1174.00,37.32,0.92,11149.35,4,performance,2073.24,158.04,11.58,33.35
1175.00,36.37,-0.26,11159.58,4,performance,0.00,158.04,11.00,33.35
1176.00,35.43,-0.26,11169.55,4,performance,0.00,158.04,10.44,33.35
1177.00,34.50,-0.26,11179.26,4,performance,0.00,158.04,9.90,33.35
1178.00,33.58,-0.25,11188.72,4,performance,0.00,158.04,9.38,33.35
1179.00,36.91,0.93,11198.51,4,performance,2050.80,158.56,11.33,33.35
1180.00,35.97,-0.26,11208.63,4,performance,0.00,158.56,10.76,33.35
1181.00,35.03,-0.26,11218.49,4,performance,0.00,158.56,10.21,33.35
1182.00,34.11,-0.26,11228.10,4,performance,0.00,158.56,9.68,33.35
1183.00,37.44,0.92,11238.03,4,performance,2079.74,159.09,11.66,33.35
1184.00,36.48,-0.26,11248.30,4,performance,0.00,159.09,11.07,33.35
1185.00,35.54,-0.26,11258.30,4,performance,0.00,159.09,10.51,33.35
1186.00,34.61,-0.26,11268.05,4,performance,0.00,159.09,9.97,33.35
1187.00,33.70,-0.25,11277.54,4,performance,0.00,159.09,9.44,33.35
1188.00,37.02,0.92,11287.36,4,performance,2056.90,159.61,11.40,33.35
1189.00,36.08,-0.26,11297.51,4,performance,0.00,159.61,10.83,33.35
1190.00,35.14,-0.26,11307.40,4,performance,0.00,159.61,10.27,33.35
1191.00,34.22,-0.26,11317.03,4,performance,0.00,159.61,9.74,33.35
1192.00,33.30,-0.25,11326.41,4,performance,0.00,159.61,9.23,33.35
1193.00,36.64,0.93,11336.13,4,performance,2035.45,160.12,11.17,33.35
1194.00,35.70,-0.26,11346.17,4,performance,0.00,160.12,10.60,33.35
1195.00,34.76,-0.26,11355.96,4,performance,0.00,160.12,10.05,33.35
1196.00,33.85,-0.26,11365.49,4,performance,0.00,160.12,9.53,33.35
1197.00,37.17,0.92,11375.35,4,performance,2065.14,160.64,11.49,33.35
1198.00,36.22,-0.26,11385.55,4,performance,0.00,160.64,10.91,33.35
1199.00,35.29,-0.26,11395.48,4,performance,0.00,160.64,10.36,33.35
1200.00,34.36,-0.26,11405.15,4,performance,0.00,160.64,9.82,33.35
1201.00,33.45,-0.25,11414.57,4,performance,0.00,160.64,9.30,33.35
1202.00,36.78,0.93,11424.32,4,performance,2043.19,161.16,11.25,33.35
1203.00,35.83,-0.26,11434.41,4,performance,0.00,161.16,10.68,33.35
1204.00,34.90,-0.26,11444.23,4,performance,0.00,161.16,10.13,33.35
1205.00,33.98,-0.26,11453.80,4,performance,0.00,161.16,9.60,33.35
1206.00,37.31,0.92,11463.70,4,performance,2072.51,161.68,11.58,33.35
1207.00,36.35,-0.26,11473.93,4,performance,0.00,161.68,10.99,33.35
1208.00,35.41,-0.26,11483.90,4,performance,0.00,161.68,10.43,33.35
1209.00,34.49,-0.26,11493.60,4,performance,0.00,161.68,9.89,33.35
1210.00,33.57,-0.25,11503.06,4,performance,0.00,161.68,9.37,33.35
1211.00,36.90,0.93,11512.84,4,performance,2050.11,162.20,11.33,33.35
1212.00,35.96,-0.26,11522.96,4,performance,0.00,162.20,10.75,33.35
1213.00,35.02,-0.26,11532.82,4,performance,0.00,162.20,10.20,33.35
1214.00,34.10,-0.26,11542.42,4,performance,0.00,162.20,9.67,33.35
1215.00,37.42,0.92,11552.36,4,performance,2079.09,162.73,11.65,33.35
1216.00,36.47,-0.26,11562.62,4,performance,0.00,162.73,11.06,33.35
1217.00,35.53,-0.26,11572.62,4,performance,0.00,162.73,10.50,33.35
1218.00,34.60,-0.26,11582.36,4,performance,0.00,162.73,9.96,33.35
1219.00,33.68,-0.25,11591.84,4,performance,0.00,162.73,9.44,33.35
1220.00,37.01,0.92,11601.66,4,performance,2056.29,163.25,11.40,33.35
1221.00,36.07,-0.26,11611.81,4,performance,0.00,163.25,10.82,33.35
1222.00,35.13,-0.26,11621.70,4,performance,0.00,163.25,10.27,33.35
1223.00,34.21,-0.26,11631.33,4,performance,0.00,163.25,9.73,33.35
1224.00,33.29,-0.25,11640.71,4,performance,0.00,163.25,9.22,33.35
1225.00,36.63,0.93,11650.42,4,performance,2034.87,163.76,11.16,33.35
1226.00,35.69,-0.26,11660.46,4,performance,0.00,163.76,10.59,33.35
1227.00,34.75,-0.26,11670.24,4,performance,0.00,163.76,10.05,33.35
1228.00,33.84,-0.26,11679.77,4,performance,0.00,163.76,9.52,33.35
1229.00,37.16,0.92,11689.63,4,performance,2064.59,164.28,11.49,33.35
1230.00,36.21,-0.26,11699.82,4,performance,0.00,164.28,10.91,33.35
1231.00,35.28,-0.26,11709.75,4,performance,0.00,164.28,10.35,33.35
1232.00,34.35,-0.26,11719.42,4,performance,0.00,164.28,9.81,33.35
1233.00,33.44,-0.25,11728.84,4,performance,0.00,164.28,9.30,33.35
1234.00,36.77,0.93,11738.59,4,performance,2042.67,164.80,11.24,33.35
1235.00,35.82,-0.26,11748.67,4,performance,0.00,164.80,10.67,33.35
1236.00,34.89,-0.26,11758.49,4,performance,0.00,164.80,10.13,33.35
1237.00,33.97,-0.26,11768.05,4,performance,0.00,164.80,9.60,33.35
1238.00,37.30,0.92,11777.95,4,performance,2072.02,165.32,11.57,33.35
1239.00,36.34,-0.26,11788.18,4,performance,0.00,165.32,10.99,33.35
1240.00,35.41,-0.26,11798.15,4,performance,0.00,165.32,10.43,33.35
1241.00,34.48,-0.26,11807.85,4,performance,0.00,165.32,9.89,33.35
1242.00,33.56,-0.25,11817.30,4,performance,0.00,165.32,9.37,33.35
1243.00,36.89,0.93,11827.09,4,performance,2049.65,165.84,11.32,33.35
1244.00,35.95,-0.26,11837.20,4,performance,0.00,165.84,10.75,33.35
1245.00,35.01,-0.26,11847.06,4,performance,0.00,165.84,10.20,33.35
1246.00,34.09,-0.26,11856.66,4,performance,0.00,165.84,9.67,33.35
1247.00,37.42,0.92,11866.59,4,performance,2078.65,166.37,11.64,33.35
1248.00,36.46,-0.26,11876.85,4,performance,0.00,166.37,11.06,33.35
1249.00,35.52,-0.26,11886.85,4,performance,0.00,166.37,10.50,33.35
1250.00,34.59,-0.26,11896.59,4,performance,0.00,166.37,9.95,33.35
1251.00,33.68,-0.25,11906.07,4,performance,0.00,166.37,9.43,33.35
1252.00,37.01,0.92,11915.89,4,performance,2055.87,166.89,11.39,33.35
1253.00,36.06,-0.26,11926.03,4,performance,0.00,166.89,10.81,33.35
1254.00,35.12,-0.26,11935.92,4,performance,0.00,166.89,10.26,33.35
1255.00,34.20,-0.26,11945.55,4,performance,0.00,166.89,9.73,33.35
1256.00,37.52,0.92,11955.51,4,performance,2084.57,167.42,11.71,33.35
1257.00,36.57,-0.27,11965.80,4,performance,0.00,167.42,11.12,33.35
1258.00,35.63,-0.26,11975.83,4,performance,0.00,167.42,10.56,33.35
1259.00,34.70,-0.26,11985.59,4,performance,0.00,167.42,10.01,33.35
1260.00,33.78,-0.26,11995.10,4,performance,0.00,167.42,9.49,33.35
1261.00,37.11,0.92,12004.95,4,performance,2061.43,167.94,11.45,33.35
1262.00,36.16,-0.26,12015.12,4,performance,0.00,167.94,10.87,33.35
1263.00,35.22,-0.26,12025.04,4,performance,0.00,167.94,10.32,33.35
1264.00,34.30,-0.26,12034.69,4,performance,0.00,167.94,9.78,33.35
1265.00,33.38,-0.25,12044.09,4,performance,0.00,167.94,9.27,33.35
1266.00,36.71,0.93,12053.83,4,performance,2039.71,168.45,11.21,33.35
1267.00,35.77,-0.26,12063.90,4,performance,0.00,168.45,10.64,33.35
1268.00,34.84,-0.26,12073.70,4,performance,0.00,168.45,10.10,33.35
1269.00,33.92,-0.26,12083.25,4,performance,0.00,168.45,9.57,33.35
1270.00,37.25,0.92,12093.14,4,performance,2069.19,168.97,11.54,33.35
1271.00,36.29,-0.26,12103.35,4,performance,0.00,168.97,10.96,33.35
1272.00,35.36,-0.26,12113.30,4,performance,0.00,168.97,10.40,33.35
1273.00,34.43,-0.26,12122.99,4,performance,0.00,168.97,9.86,33.35
1274.00,33.51,-0.25,12132.43,4,performance,0.00,168.97,9.34,33.35
1275.00,36.85,0.93,12142.20,4,performance,2046.99,169.49,11.29,33.35
1276.00,35.90,-0.26,12152.31,4,performance,0.00,169.49,10.72,33.35
1277.00,34.97,-0.26,12162.15,4,performance,0.00,169.49,10.17,33.35
1278.00,34.05,-0.26,12171.73,4,performance,0.00,169.49,9.64,33.35
